season,team_abbr,gsis_id,reference_basis,source_as_of
2024,LAC,00-0036355,week_1_proxy,
2024,LV,00-0035289,week_1_proxy,
2024,MIA,00-0036212,week_1_proxy,
2024,MIN,00-0034869,week_1_proxy,
2024,NE,00-0033119,week_1_proxy,
2024,NO,00-0031280,week_1_proxy,
2024,NYG,00-0035710,week_1_proxy,
2024,NYJ,00-0023459,week_1_proxy,
2024,PHI,00-0036389,week_1_proxy,
2024,PIT,00-0036945,week_1_proxy,
2024,SEA,00-0030565,week_1_proxy,
2024,SF,00-0037834,week_1_proxy,
2024,TB,00-0034855,week_1_proxy,
2024,TEN,00-0039152,week_1_proxy,
2024,WAS,00-0039910,week_1_proxy,
2025,ARI,00-0035228,preseason_snapshot,2025-09-04T07:21:47Z
2025,ATL,00-0039917,preseason_snapshot,2025-09-04T07:21:47Z
2025,BAL,00-0034796,preseason_snapshot,2025-09-04T07:21:47Z
2025,BUF,00-0034857,preseason_snapshot,2025-09-04T07:21:47Z
2025,CAR,00-0039150,preseason_snapshot,2025-09-04T07:21:47Z
2025,CHI,00-0039918,preseason_snapshot,2025-09-04T07:21:47Z
2025,CIN,00-0036442,preseason_snapshot,2025-09-04T07:21:47Z
2025,CLE,00-0026158,preseason_snapshot,2025-09-04T07:21:47Z
2025,DAL,00-0033077,preseason_snapshot,2025-09-04T07:21:47Z
2025,DEN,00-0039732,preseason_snapshot,2025-09-04T07:21:47Z
2025,DET,00-0033106,preseason_snapshot,2025-09-04T07:21:47Z
2025,GB,00-0036264,preseason_snapshot,2025-09-04T07:21:47Z
2025,HOU,00-0039163,preseason_snapshot,2025-09-04T07:21:47Z
2025,IND,00-0035710,preseason_snapshot,2025-09-04T07:21:47Z
2025,JAX,00-0036971,preseason_snapshot,2025-09-04T07:21:47Z
2025,KC,00-0033873,preseason_snapshot,2025-09-04T07:21:47Z
2025,LA,00-0026498,preseason_snapshot,2025-09-04T07:21:47Z
2025,LAC,00-0036355,preseason_snapshot,2025-09-04T07:21:47Z
2025,LV,00-0030565,preseason_snapshot,2025-09-04T07:21:47Z
2025,MIA,00-0036212,preseason_snapshot,2025-09-04T07:21:47Z
2025,MIN,00-0039923,preseason_snapshot,2025-09-04T07:21:47Z
2025,NE,00-0039851,preseason_snapshot,2025-09-04T07:21:47Z
2025,NO,00-0039376,preseason_snapshot,2025-09-04T07:21:47Z
2025,NYG,00-0029263,preseason_snapshot,2025-09-04T07:21:47Z
2025,NYJ,00-0036945,preseason_snapshot,2025-09-04T07:21:47Z
2025,PHI,00-0036389,preseason_snapshot,2025-09-04T07:21:47Z
2025,PIT,00-0023459,preseason_snapshot,2025-09-04T07:21:47Z
2025,SEA,00-0034869,preseason_snapshot,2025-09-04T07:21:47Z
2025,SF,00-0037834,preseason_snapshot,2025-09-04T07:21:47Z
2025,TB,00-0034855,preseason_snapshot,2025-09-04T07:21:47Z
2025,TEN,00-0040676,preseason_snapshot,2025-09-04T07:21:47Z
2025,WAS,00-0039910,preseason_snapshot,2025-09-04T07:21:47Z
2026,ARI,00-0033119,preseason_snapshot,2026-09-01T12:20:07Z
2026,ATL,00-0036212,preseason_snapshot,2026-09-01T12:20:07Z
2026,BAL,00-0034796,preseason_snapshot,2026-09-01T12:20:07Z
2026,BUF,00-0034857,preseason_snapshot,2026-09-01T12:20:07Z
2026,CAR,00-0039150,preseason_snapshot,2026-09-01T12:20:07Z
2026,CHI,00-0039918,preseason_snapshot,2026-09-01T12:20:07Z
2026,CIN,00-0036442,preseason_snapshot,2026-09-01T12:20:07Z
2026,CLE,00-0033537,preseason_snapshot,2026-09-01T12:20:07Z
2026,DAL,00-0033077,preseason_snapshot,2026-09-01T12:20:07Z
2026,DEN,00-0039732,preseason_snapshot,2026-09-01T12:20:07Z
